TechnicalDescription,failure_reason
"Derived column in Commercial NRT using AgentId, RoutingContextId and SRNumber columns in CollaborationTask table coming from DFM Events data processed by Cornerstone. 
Step1- RoutingContextId will have value only for the CollaborationTask Event table where the routing is done
Step2- As soon as the case is assigned to an AgentId, that case will disapper from the queue which means the RoutingContextId will be null. 
Step3- PreviousRoutingContextId is introduced to retain previous RoutingContextId that the SRNumber was in.",Uncategorized
Direct Mapping to EntityURI (Entity  Universal Resource Identifier) column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to EntityAction column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to CustomerCompanyType column in SupportRequestDetailsSIPv2 table coming from Amplify source having String values.,Missing source info
Direct mapping to LastModifiedDate column in CustomerScheduledCallbackTime table coming from Amplify source having Timestamp(UTC) values.,Missing source info
Direct mapping to IsPublicSector column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Timestamp(UTC) at which record is updated by ETL process in UDP NRT,Uncategorized
Direct Mapping to id column in Labor table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EnqueuedTimeUtc column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on IncidentType and CaseType columns in Cases table from DFM Events data processed by Cornerstone.
Logic: Checks a condition involving IncidentType. If true, assigns specific values based on SRType. Otherwise, returns 'Unknown'.",Transformation logic
"The attribute has hardcoded values of >= 7Days <14Days, <1Day, >= 21Days <31Days, >= 1Day <3Days, Unknown.",Uncategorized
"Derived by applying decode logic based on CompletedOn and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: Compute the difference in minutes between CompletedOn and CreatedDateTime. If the difference is <= 30 minutes, set as 1, else 0.",Transformation logic
"Derived by applying decode logic on column SRCreationDateTime in FactSREvents.
Logic: Assigns a region based on the value of SRCreationDateTime.",Transformation logic
Direct Mapping to UpdatedAttributes column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to LastModifiedDateTime column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
"Derived attribute of datatype boolean based on StateAnnotation column in Cases table coming from DFM Events data processed by  Cornerstone.
Logic: When StateAnnotation = ('resolved','resolved external','resolved by customer') THEN 1 ELSE 0 .",Transformation logic
"Derived by applying decode logic on StateAnnotation and EventDateTime columns in Cases table from DFM Events data processed by Cornerstone source.
Logic: Extracts the date portion of EventDateTime when StateAnnotation is one of ('identifying the issue', 'identifying issue', 'scope'). If null, replace with -1.",Transformation logic
Direct Mapping to InternalTitle column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having string values.,Missing source info
Direct Mapping to IsValidFeedback column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having  boolean values .,Missing source info
Direct Mapping to AgentIdLastUpdatedOn column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to UpdatedAttributes column in CollaborationTask table coming from DFM Events data processed by Cornerstone from string values.,Missing source info
Direct Mapping to id column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to CaseNumber column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityAction column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to AutomatedSupportEnabled column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
"Derived attribute of datatype date based on the Current_Timestamp
Logic: It calculates the next Monday (in that week) following the subtraction of 7 days from the current date.
Example: It we take Current_Timestamp as March 8th, it subtracts 7 days from it which is March 1st and the immediate next Monday is considered as the WeekStartDate which is March 4th.",Transformation logic
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
Direct Mapping to UpdatedAttributes column in EmailInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to StateAnnotation column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to InternalState column in SupportRequestDetails_NRT  intermediate table having String values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to CaseNumber column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to IsM365 column in EscalationTask table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct mapping to CreationChannel  column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
"This derived attribute extracts the date portion from CreatedDateTime and removes hyphens, assigning a value of -1 if the result is NULL.",Uncategorized
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Surrogate key generated within UDP NRT to identify unique records in FactSREvents table. It is generated using SRNumber.,Uncategorized
"Derived by applying decode logic on CompletedDateTime, Type, and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: It calculates the minute difference between CompletedDateTime and CreatedDateTime when Type = 'InitialResponse'.",Transformation logic
Direct Mapping to IVROutboundCallTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime, and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: When State = 'Open', it calculates the difference in hours between Current Timestamp and CreatedDateTime.
When State = 'Closed', it calculates the difference in hours between StateLastUpdatedDateTime and CreatedDateTime.
If any DateTime column is null, it assigns 0.",Transformation logic
Direct mapping to SkillIds column in SupportRequestDetails_NRT intermediate table having String  values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct mapping to CreateDate column in IncidentsSnapshotV2 table from ICMDataWarehouse source having Timestamp(UTC) values.,Missing source info
Direct mapping to ReportingWeekStartDate in DimTime table coming from Commercial NextDay Datamart within SA&DP having Timestamp(UTC) values.,Missing source info
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
Direct Mapping to PlanningCategoryBusiness column in DimPlanningCategory table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
"Derived by applying decode logic based on AgentId column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.
Logic : WHEN AgentId IS NULL THEN hardcoded as 0 else 1",Transformation logic
Direct Mapping to StateAnnotation column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityType column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to AssignmentPendingSince column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"This logic applies decode logic based on several columns including TenantName, DataSourceKey, QueueName, and others from various tables like DimTenant, DimDataSource, DimQueue, DimEmployee, and others to determine the IsCubeFlag value based on multiple conditions.",Transformation logic
This Attribute has a static value - <3001> uploaded through flat file.,Uncategorized
Direct mapping to TransferredFrom column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
"This logic applies decode logic based on several columns including TenantName, DataSourceKey, QueueName, and others from various tables like DimTenant, DimDataSource, DimQueue, DimEmployee, and others to determine the IsCubeFlag value based on multiple conditions.",Transformation logic
Direct mapping to CreationChannel  column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
Direct mapping to EntityURI column in Cases table coming from DFM Events data processed by Cornerstone source having String values.,Missing source info
Direct Mapping to column Severity  in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to Severity  column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived by applying decode logic on IncidentType and CaseType columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: It checks a condition involving the IncidentType column in FactSRSupportData table. If true, it assigns specific values based on different scenarios. Otherwise, it returns 'Unknown'.",Transformation logic
"Direct mapping to PlanningCategoryKey column in FactSupportServiceRequest table, indicating an integer value based on the source.",Missing source info
"Derived by applying decode logic on TenantName column in DimTenant table, DataSourceKey column in DimDataSource table, QueueName column in DimQueue table coming from Commercial NextDay Datamart within SA&DP, EmployeeEmail and CSCompanyAgency columns in DimEmployee table coming from UDP Common Database for dynamics cases, PreviousRoutingQueueName column in SREvents table coming from DFM Events data processed by Cornerstone and SupportAreaName column in FactSRSupportData table coming from Commercial NRT Datamart within SA&DP.
Logic: CASE WHEN TenantName LIKE '%contoso%' OR 'mstest_%' OR 'test_test_%' OR 'test' OR 'msft' THEN 0 ELSE 1 END AS IsCubeFlag",Transformation logic
Direct mapping to UpdatedBy column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Direct mapping to AgentIdAssignedCount  column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived attribute of datatype int based on EventDateTime, StateAnnotation and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: When StateAnnotation = ('identifying the issue','identifying issue','scope') THEN it calculates the difference in minutes between EventDateTime and CreatedDateTime columns.",Transformation logic
Direct Mapping to EntityType (KPI) column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping from SAPId (Support Area Path Id)  in CollaborationTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct mapping to SubscriptionType column in SupportRequestDetails_NRT intermediate table having integer values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to SupportLanguageKey column in FactSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having integer values.,Missing source info
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
"Derived by applying decode logic based on StateAnnotation, CreatedDateTime  columns in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.
Logic : CASE 
STEP 1: WHEN StateAnnotation NOT IN ('identifying the issue','identifying issue','scope')  THEN we take difference in hours between Current Timestamp and CreatedDateTime 
STEP 2 : if the difference from Step1 is greater than 24 then it assign 1 else 0. 
",Transformation logic
Direct mapping to CaseUri column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct mapping to TranferredTo  column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to EventType column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on Id and TaskType columns in CollborationTask table coming from DFM Events processed by Cornerstone source.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='CollaborationTask'.
Step2- If TaskCountId from step 1 is NULL, it is replaced with 0 END AS CollaborationTasks.",Transformation logic
Direct Mapping to CreatedOn column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to ARRTypeDerived column in FactSREvents table from Commercial NRT Datamart within SA&DP.,Missing source info
"Derived by applying decode logic CompletedDateTime,Type and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: It calculates  minute difference between CompletedDateTime and CreatedDateTime columns When Type = 'InitialResponse' in Cases table.",Transformation logic
Direct mapping to IncidentId column in IncidentsSnapshotV2 table from ICMDataWarehouse source having integer values.,Missing source info
Direct Mapping to RaveEscalation column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values.,Missing source info
Direct Mapping to EntityAction column in CollaborationTask Table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to Name column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on column MinutesPastSLA from FactSREvents from Commercial NRT Datamart within SA&DP source.
Logic: It takes the MinutesPastSLA duration and formats it into a string representation of days and hours.",Transformation logic
Direct mapping to SupportAreaPathIssue  column in Cases table coming from DFM Events data processed by Cornerstone source having String values.,Missing source info
This is a reference key to the DimCauseType table to get more details about CauseTypeKey.,Uncategorized
Derived by applying decode logic on IsEUSchrems column loaded from DFM Events data processed by Cornerstone ( Cases table) . Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems,Transformation logic
"Derived attribute of datatype boolean based on StateAnnotation column in Cases table coming from DFM Events data processed by  Cornerstone.
Logic: When StateAnnotation = 'waiting for confirmation'  THEN 1 ELSE 0 .",Transformation logic
"Derived by applying decode logic based on StateAnnotation column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.
Logic : CASE WHEN StateAnnotation  = ('identifying issue' ,'identifying the issue' ,'scope' ,'initial contact pending' ,'resolved' ,'resolved by customer' ,'resolved external' ,'troubleshooting' ,'waiting for confirmation' ,'waiting for information' ) Then hardcoded as 1 else 0.",Transformation logic
"Derived attribute of datatype int based on CreatedDateTime column in Cases table from DFM data processed by Cornerstone. It is joined using SRNumber from both FactSupportData and Cases table.
Logic: It calculates the number of seconds passed since midnight for a given CreatedDateTime and rounds it to the nearest 30-minute interval.
Example: If CreatedDateTime is 2024-03-07 15:25:30, it first calculates seconds from midnight, rounds to the nearest 30-minute increment, and subtracts 1 second.",Transformation logic
Direct Mapping to CreationChannel column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to AssignedToAssignedCount column in FollowUpTask table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to TransactionalSurveyType column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values .,Missing source info
This is a reference attribute to DimDeliveryOrganization table to get more details about the Organization. The Organization column is populated by joining the DeliveryOrganizationId  in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source with OrganizationId in the DimDeliveryOrganization table coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct Mapping to UpdatedOn column in KPI table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to SupportChannel column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct mapping to LaborSpanL2 column coming from static source provided by commercial business.,Missing source info
"Derived by applying decode logic based on PlanningCategory and PlanningCategoryGroup in DimPlanningCategory table coming from Commercial NextDay Datamart within SA&DP having Integer values.
Logic : If PlanningCategoryGroup = 'dnai' then PlanningCategory else PlanningCategoryGroup.",Transformation logic
Direct Mapping to EntityURI (Entity  Universal Resource Identifier) column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to DeliveryRegion column in SupportRequestDetails_NRT intermediate table.,Missing source info
"This logic derives a value based on Row_InitialPreviousRoutingContext and EventDateTime columns in the SREvents table, using a conditional check to join with the DimQueue table and fetch the QueueKey, which is then aliased as PreviousAssignedQueueKey.",Transformation logic
Direct mapping to FullDate column in DimTime table coming from Commercial NextDay Datamart within SA&DP source having timestamp values.,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: CASE When State= ""closed"" then we take days difference between StateLastUpdatedDateTime and CreatedDateTime columns ELSE 0 END AS DaysToClose",Transformation logic
Direct Mapping to StartsOn column in KPI table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: CASE When State= ""closed"" then we take days difference between StateLastUpdatedDateTime and CreatedDateTime columns ELSE 0 END AS DaysToClose",Transformation logic
Direct mapping to RequestId  column in SupportRequestPreCommunication table coming from upstream Amplify source having String values.,Missing source info
Direct Mapping to CaseNumber column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct mapping to CwsId column in SupportRequestPreCommunication table coming from upstream Amplify source having String values.,Missing source info
Direct Mapping to IsCritSit  column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Direct Mapping to AgentIdentifiedRootCause column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct mapping to id column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to id column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to CompletedDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source  having timestamp values in UTC.,Missing source info
Direct Mapping to CaseNumber column in Events table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived by applying decode logic on EventDateTime column in DFM Events data processed by Cornerstone.
Logic: Extracts the date portion of EventDateTime and replaces null values in SRModifiedTimeId with -1.",Transformation logic
Direct Mapping to PerformedOn  column in Labor table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on IsEUSchrems column in Cases table coming from DFM Events data processed by Cornerstone source having string values.
Logic : CASE When IsEUSchrems = 'eu' Then TRUE Else FALSE END AS IsEUSchrems",Transformation logic
"Derived by applying case logic on CustomerType1, CustomerType2, CustomerType3, CustomerIdSource1, CustomerIdSource2, CustomerIdSource3 columns in Cases table coming from DFM Events data processed by Cornerstone source.
logic:If CustomerType1='enterprise' and CustomerIdSource1 not equal to 'unknown' and CustomerIdSource1 is NOT NULL THEN CustomerId1,
           WHEN CustomerType2='enterprise' and CustomerIdSource2 not equal to 'unknown' and CustomerIdSource2 is NOT NULL THEN CustomerId2,
           WHEN CustomerType3='enterprise' and CustomerIdSource3 not equal to 'unknown' and CustomerIdSource3 is NOT NULL THEN CustomerId3,
           END AS TenantId",Transformation logic
Direct mapping to LastModifiedDateTime column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
"Derived by applying decode logic based on ProgramType column in Cases table coming  from DFM Events data processed by Cornerstone.
Logic: CASE When ProgramType = 'Azure ACE' then hardcoded as 1 else 0.",Transformation logic
Direct mapping to ReceivedDateTime column in SupportRequestPreCommunication table coming from upstream Amplify source having Timestamp(UTC) values.,Missing source info
"Derived by applying decode logic on StateAnnotation and EventDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: Extracts the date portion of EventDateTime when StateAnnotation is in ('identifying the issue', 'identifying issue', 'scope'). If the result is null, it is replaced with -1.",Transformation logic
Direct mapping to SupportTopicKey column in DimSupportTopic Table coming from Commercial NextDay Datamart within SA&DP source having interger values.,Missing source info
Direct Mapping to RequestTypePesId column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
"Derived by applying decode logic on Id and TaskType columns in PhoneInteraction table coming from DFM Events processed by Cornerstone having integer values.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='PhoneInteraction'.
Step2- If TaskIdCount coming from step 1 is NULL, it replaces it with 0 END AS PhoneInteractions.",Transformation logic
Direct Mapping to PreviousTimeInQueues column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic:  When State ='Open' it calculates the difference in days between Current Timestamp and CreatedDateTime column in Cases table.
               When State ='Closed' it calculates the difference in days between StateLastUpdatedDateTime and CreatedDateTime columns in Cases table.
               If the result when either of the above conditions met SRAgeDays assigned to 1 else it assign 0 when any of the DateTime column is null.",Transformation logic
"Derived attribute of datatype boolean based on StateAnnotation column in Cases table coming from DFM Events data processed by  Cornerstone.
Logic: When StateAnnotation = ('waiting for confirmation' ,'resolved' ,'resolved external' ,'resolved by customer') THEN 1 ELSE 0 .",Transformation logic
Direct Mapping to UpdatedOn column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to SAPPath column in DimSupportAreaPath table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
Direct Mapping to UpdatedAttributes column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to AgentTimeZone column in Labor table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to CreatedBy column in CollaborationTask table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to IsHoldOnDelete column in Cases table coming from DFM Events data processed by Cornerstone having Boolean values ,Missing source info
Direct mapping to TicketNumber column in SupportRequestDetails_NRT intermediate table having integer values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct mapping to UpdatedBy  column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to EnqueuedTimeUtc column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to IncidentId column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct mapping to SupportTopicKey column in DimSupportTopic Table coming from Commercial NextDay Datamart within SA&DP source having interger values.,Missing source info
Direct Mapping to FeedbackModality column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source  having string values,Missing source info
Direct Mapping to AssignmentPendingSince column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to NewTicket column in SupportRequestDetails_NRT intermediate table having boolean values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to EntityAction  column in Labor table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
"Derived attribute of datatype smallint based on CaseReopenRowID and EntityAction columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: WHEN  CaseReopenRowID = 1 THEN 1 ELSE 0 AS ReopenCount where EntityAction = 'CaseReopened'",Transformation logic
"This logic uses decode logic based on ServiceRequestID and DataSourceKey columns from the Cases table and DimDataSource table to assign 'Yes', 'No', or 'Unknown' values based on conditions applied to the columns.",Transformation logic
Direct Mapping to AssignmentPendingSince column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to ActiveSystem column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to Severity column in  SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having integer values .,Missing source info
Direct Mapping to EntityType column in CollaborationTask table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
"This is reference Key to the DimKPIState table to get more details about KPIState corresponding to InitialResponseState.It is populated by joining KPIState column in Cases table with State column in SlaItem table, both the tables coming from DFM Events data processed by Cornerstone source.",Conditions of join
Direct Mapping to EntityType column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"This logic derives a value by applying decode logic on KPIState column in the DimKPIState table and State, Name, and SRNumber columns in the KPIFlash intermediate table. The process includes joining DimKPIState and KPIFLASH, and using conditional checks to determine the final value of KPIStateKey.",Transformation logic
Direct Mapping to Symptom column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to EnqueuedTimeUtc column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic based on SubscriptionType, SkillIds, SupportAreaNames and ProgramId columns in SupportRequestDetails_NRT intermediate table (refer entity desc for SupportRequestDetails_NRT table derivation).
Logic:  If SubscriptionType=1 OR SupportAreaNames LIKE 'premier%' OR SkillIds LIKE '%393216%' OR SkillIds LIKE '%589824%'  OR SkillIds LIKE '%589825%' OR ProgramId='5c44c5ec-5fd4-4e45-ab0d-dd9156d1bde9' AND (SubscriptionType not equals to  2 OR SubscriptionType IS NULL) THEN 'Premier' WHEN SupportAreaNameL1= 'proactive' THEN 'Proactive'  ELSE 'Non-Premier'. END AS ServiceOffering",Transformation logic
"Derived by applying decode logic on Id and TaskType columns in EscalationTasks table from DFM Events processed by Cornerstone having integer values.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='EscalationTask'.
Step2- If TaskCountId coming from step 1 is NULL, it replaces it with 0 END AS EscalationTasks.",Transformation logic
Direct mapping to StateAnnotation column in Cases table coming from DFM Cornerstone source having string values.,Missing source info
Direct mapping to TransferReason column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
"Derived by applying decode logic based on PerformedOn and CreatedDateTime columns in Labor and Cases table respectively coming from DFM Events data processed by Cornerstone.
Logic: Calculates the difference in days between the PerformedON column in Labor table and the CreatedDateTime column in Cases table.",Transformation logic
This is reference key to the DimScopeAgeSpan to get more details about ScopeAgeSpan.This key is populated by joining ScopeAgeSpan column in Factsupportdata coming from Commercial NRT Datamart within SA&DP with ScopeAgeSpan column in DimScopeAgeSpan coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct Mapping to IsSyncEvent  column in SlaItem table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct mapping to CustomerGeographyKey column in FactSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having interger values.,Missing source info
Direct Mapping to Source column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct mapping to RouteDateTime column in SupportRequestDetails_NRT intermediate table having timestamp(UTC) values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct mapping to CurrentManagerEmail column in DimEmployee Table coming from Commercial NextDay Datamart within SA&DP source.,Missing source info
Direct Mapping to RoutingContextId column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
