"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the 5th position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
exaple : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-InMy Files/Meetings\Configuration Issue""
then RootCause6 is 'Configuration Issue'.",,Ok,ok,
"Derived by applying logic on SupportTopicFullPath column coming  from DimSupportTopic in SA&DP Commercial source as
Logic step1:get the SupportTopicFullPath column and replace the '\\\\' with '^' using regexp_replace function.
      step2: splitting the 7th position value of SupportTopicFullPath column on the basis of '^'.If there is no value then hardcoded to Unspecified.
exaple : if SupportTopicFullPath column value is ""zzRoot Cause: Surface Hub 2S  old\Technical\Personal Sign-InMy Files/Meetings\Configuration Issue""
then RootCause7 is 'Unspecified'.",,Ok,ok,
This table contains the details for case resolution status of the ticket coming from Dynamics and Amplify source. Grain- ServiceRequestResolution,,OK,"Add the source and source table names and grain. 
If the list is big then mention just the source name and grain.",
"Surrogate Key generated in UDP for 'ServiceRequestResolution' column  from Rave (Amplify),Cornerstone(DFC - Dynamics For Consumer) sources.",,Ok,ok,
"Direct mapping to distinct values of 'ServiceRequestResolution' column from Rave,cornerstone sources",,Ok,ok,
Timestamp in UTC at which record is inserted by ETL process in UDP,,Ok,ok,
Timestamp in UTC at which record is updated by ETL process in UDP,,Ok,ok,
"This table contains Online Safety Team Queues, Online Safety - T1, Online Safety - T2 Manilla, Online Safety - T3, DMCA - T1 Allyis, DMCA - T2 Allyis.",,Ok - I am guessing this I some type of ticket table specfic to a tool used by online safety,ok,
Direct mapping to AgentContentClassification column having string values coming from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to Assignedto column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to AssignedGroup column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to ClosedBy column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to CSAMRating column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to CustomerIndication column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to CustomerSelection column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to DateAcknowledged column having timestamp values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to DateClosed column having timestamp values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to DateCreated column having timestamp values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to Number column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to NumberofItemsInvestigated column having integer values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to NumberofItemsActioned column having integer values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to OnlineSafetyAction column having string values coming from  CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to ParentCaseNumber column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to ProductCategory column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to Status column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to SubjectCountry column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to SubState column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to Tags column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to TimeWorked column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
Direct mapping to UpdatedBy column having string values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source..,,Ok,ok,
Direct mapping to UpdatedOn column having timestamp values coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.,,Ok,ok,
"Derived by applying decode logic on ClosedBy, DateClosed and DateCreated columns coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.",,Ok,ok,
"Derived by applying decode logic on TimeWorked column coming from CPRO_Cases view from CSSCPROSnow (CSS Snow Cases for Online Privacy) source.
Logic: Converted TimeWorked column having string values to decimal(10,2) to get WorkMinutes by use of cast function like:
TimeWorked.cast(DecimalType(10, 2))",,Ok,ok,
Timestamp in UTC at which record is inserted by ETL process in UDP,,Ok,ok,
Timestamp in UTC at which record is updated by ETL process in UDP,,Ok,ok,
"This table contains Customer data coming from Dynamics Cornerstone. It is a SCD Type 2 table which means it retains history of any change to customer attribute e.g. CustomerEmail,CustomerPUID etc. Grain - CustomerId and DataSource",,Ok,"Add the source and source table names and grain. 
If the list is big then mention just the source name and grain.",
Timestamp in UTC at which record is inserted by ETL process in UDP,,Ok,ok,
Timestamp in UTC at which record is updated by ETL process in UDP,,Ok,ok,
Direct mapping to CustomerId column coming from Cornestone source,,Ok,ok,
Surrogate key generated in UDP on CustomerId field from Cornerstone (DFC - Dynamics For Consumer) source,,Ok,ok,
This atrrribte is derived by calculating hex string result of SHA-2 family of CustomerPUId column coming from Cornestone source.,,Ok,"It is not a decode logic. change accordingly.
Logic part is not clear.",
Hardcoded as 'Dynamics' ,,Ok,ok,
Direct mapping to Email column coming from Cornestone source,,Ok,ok,
Hardcoded  as 'Unspecified',,Ok,ok,
Direct mapping to CustomerId column coming from Cornestone source,,Ok,ok,
END B1,,,,
,L1 Review,L2 Review,L3: IAR Review,
TechnicalDescription,L1 Review Comment,L2 Review Comment,Review Comment L3,
"This Table contains the details of regular customer issue content, such as title of the issue , solution type ,content type ect.",,,,
Direct Mapping to ContentKey column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,,,,
Direct Mapping to ContentId column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,,,,
Direct Mapping to ContentType column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,,,,
Timestamp in UTC at which record is inserted by ETL process in UDP,,,,
Timestamp in UTC at which record is updated by ETL process in UDP,,,,
Direct mapping to SolutionType column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,,,,
Direct mapping to Title column from DimContent table in SA&DP(Support Analytics and Data Platform) CXA(Cornerstone) Source,,,,
This table contains Initiative details at customer level data coming from Microsoft Ads Data Analytics Platform Source,,,,
Timestamp in UTC at which record is inserted by ETL process in UDP,,,,
Timestamp in UTC at which record is updated by ETL process in UDP,,,,
"Direct mapping to CustomerId column coming from MDAP(MSA Data Analytics Platform) source , dimcnrinitiativecustomerdetails table",,,,
Direct mapping to DateKey column coming from MDAP(MSA Data Analytics Platform) source  table dimcnrinitiativecustomerdetails,,,,
Direct mapping to InitiativeEndDateTime column coming from MDAP(MSA Data Analytics Platform) source  table dimcnrinitiativecustomerdetails,,,,
Direct mapping to IntiavtiveName column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to InitiativeStartDateTime column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to InitiativeStatus column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to IsActive column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to ListType column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to Market column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to Notes column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to SalesRegion column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to ModifiedDateTime column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to TeamId column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
Direct mapping to TeamName column coming from MDAP(MSA Data Analytics Platform) source table dimcnrinitiativecustomerdetails,,,,
"This Table contains User details coming from cornerstone, the details such as User mail address, AccountId, RoleSetName etc.",,,,
Direct mapping to msdfm_userid column from msdfm_user entity coming from cornerstone source.,,,,
Direct mapping to createdon column from msdfm_user entity coming from cornerstone source.,,,,
Direct mapping to modifiedon column from msdfm_user entity coming from cornerstone source.,,,,
Direct mapping to msdfm_alternateemailaddress column from msdfm_user entity coming from cornerstone source.,,,,
Direct mapping to msdfm_accountid column from msdfm_user entity coming from cornerstone source.,,,,
Direct mapping to msdfm_name column from msdfm_roleset entity coming from cornerstone source.,,,,
Direct mapping to msdfm_lineofbusinessname column from msdfm_user entity coming from cornerstone source.,,,,
Timestamp in UTC at which record is inserted by ETL process in UDP,,,,
Timestamp in UTC at which record is updated by ETL process in UDP,,,,
End B2,,,,
,L1 Review,L2 Review,L3: IAR Review,
TechnicalDescription,L1 Review Comment,L2 Review Comment,Review Comment L3,
Fact table that contains Surface Devices coming from FactSupportServiceRequest table in SA&DP Commercial source. Data filtered from Commercial source using below filters (commercialproductlevel1name='wdg' and CommercialProductLevel2Name='hardware') or (PesProductName like '%hololens%' or PesProductName 'azure kinect dev kit'),,Ok,,
This is a reference key to DimDate table to get more details about Incident CreatedDatetime in UTC. This key is populated by joining CreatedTime from DimSupportServiceRequest table coming from SA&DP Commercial source with CalendarDate in the DimDate and extracting Datekey,,OK,"If it is a direct mapping to Commerical attribute then add the sentence that it is a direct mapping to xyz column in commercial similar to  rno - 60 as Logic - .....
Otherwise use desc below to write the logic:
Ref desc below - SubmitterEmployeeKey -This is a reference key to EmpMapData entity present within MLGCS datamart.
Logic - CSIEscalation and EmpMapData tables are joined on EmpMapData.EmployeeEmail and CSIEscalation.SubmitterEmail 
coming from Critsit source and EmployeeKey is picked from EmpMapData table to populate SubmitterEmployeeKey.

e.g.-2: This is a reference key to DimGeography table to get more details about customer region related to the messaging impressions data.
Logic -'DisplayName' column from 'Domain_Geo' static domain file coming from Excel file source provided by CPR buisness, is joined with 'Market' column in DimGeography to pick GeographyKey",
This is a reference key to DimTime table to get more details about Incident CreatedDatetime in UTC. This key is populated by joining CreatedTime from DimSupportServiceRequest table coming from SA&DP Commercial source with Time in the DimTime and extracting Timekey,,OK,ref rno - 9 review comments,
This is a reference key to DimDate table to get more details about Incident ClosedDatetime in UTC.This key is populated by joining ClosedDateTime from DimSupportServiceRequest table coming from SA&DP Commercial source with CalendarDate in the DimDate and extracting Datekey,,OK,ref rno - 9 review comments,
This is a reference key to DimTime table to get more details about Incident ClosedDatetime in UTC. This key is populated by joining ClosedDateTime from DimSupportServiceRequest table coming from SA&DP Commercial source with Time in the DimTime and extracting Timekey,,OK,ref rno - 9 review comments,
This is a reference key to DimDate table to get more details about Incident CreatedDatetime in PT. This key is populated by joining CreatedTime in PT from DimSupportServiceRequest table coming from SA&DP Commercial source with CalendarDate in the DimDate and extracting Datekey,,OK,ref rno - 9 review comments,
This is a reference key to DimTime table to get more details about Incident CreatedDatetime in PT. This key is populated by joining CreatedTime in PT from DimSupportServiceRequest table coming from SA&DP Commercial source with Time in the DimTime and extracting Timekey,,OK,ref rno - 9 review comments,
This is a reference key to DimDate table to get more details about Incident ClosedDatetime in PT . This key is populated by joining ClosedDateTime in PT from DimSupportServiceRequest table coming from SA&DP Commercial source with CalendarDate in the DimDate and extracting Datekey,,OK,ref rno - 9 review comments,
This is a reference key to DimTime table to get more details about Incident ClosedDatetime in PT. This key is populated by joining ClosedDateTime in PT from DimSupportServiceRequest table coming from SA&DP Commercial source with Time in the DimTime and extracting Timekey,,OK,ref rno - 9 review comments,
This is a reference key to DimDataSource table to get more details about Source. Direct mapping to DataSourcekey column in FactSupportServiceRequest table coming from SA&DP Commercial Source,,Ok,Add source table name,
This is a reference key to DimDataSource table to get more details about Source. Direct mapping to OriginatingDataSourcekey column in FactSupportServiceRequest table coming from SA&DP Commercial Source,,Ok,ref rno - 9 review comments,
This is a reference key to DimServiceOffering table to get the details of various Commercial Services offered. Direct mapping to ServiceOfferingKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
This is a reference key to DimGlobalContract table to get the details of Commercial global contracts. Direct mapping to GlobalContractKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
Direct mapping to BusinessCustomerName column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to PartnerCustomerName column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
This is a reference key to DimAgentRootCauseTaxonomy table to get details of various Issue root cause classifications. Direct mapping to AgentRootCauseTaxonomyKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
Hardcoded to 0 as Not related to consumer,,Ok,,
This is a reference key to DimSupportLanguage table to get more details about Language. Direct mapping to Supportlanguagekey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
This is a reference key to DimSupportAreaPath table to get details of various Support Area Paths. Direct mapping to SupportAreaPathKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
Direct mapping to SupportChannel column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to GBSTMPI column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to CTS_TMPI column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to DaysToClose column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to DaysToSolution column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to ResolutionDateTime column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to IsServiceRequestClosedwithin24hours column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to MinutesToInitialResponse column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to PESProductKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to CurrentSymptomSupportTopicKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to CurrentCauseSupportTopicKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to FunctionHierarchyKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to TMPI column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to ServiceRequestAttributeKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
This is a reference key to DimGeography table to get more details about customer geography. Direct mapping to CustomerGeographyKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,OK,ref rno - 9 review comments,
"Hardcoded to 0 , becasue Tenant is assoicated commerial not a consumer construct.",,Ok,,
This is a reference key to DimEmployee table to get details of Employee worked on the ticket. Direct mapping to CurrentOwnerEmployeeKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
Direct mapping to NativeServiceRequestID column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to ServiceRequestNumber column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
Direct mapping to IsRepair column in DimSupportServiceRequest table coming from SA&DP Commercial source. ,,OK,,
Timestamp in UTC at which record is inserted by ETL process in UDP,,Ok,,
Timestamp in UTC at which record is updated by ETL process in UDP,,Ok,,
"Hardcoded to Unspecified, Not available for commerical Surface",,Ok,,
"Hardcoded to Unspecified, Not available for commerical Surface",,Ok,,
"Hardcoded to Unspecified, Not available for commerical Surface",,Ok,,
"Hardcoded to Unspecified, Not available for commerical Surface",,Ok,,
Hardcoded to Unspecified as it is retired in MSSolve source,,No Longer used,,
Direct mapping to PlanningCategoryKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
"This is a reference key to DimRange table to get more details about Ticket ageRange. Derived by applying decode logic on ClosedDateTime,CreatedDateTime columns in DimSupportServiceRequest table coming from SA&DP Commercial Source. Logic: calculate new column Range-when datedifference of ClosedDateTime,CreatedDateTime < 0 then '<=0' ,when datedifference of ClosedDateTime,CreatedDateTime is > 0 and <=1 then '>0-1' ,when datedifference of ClosedDateTime,CreatedDateTime is > 1 and <=2 then '>1-2' ,when datedifference of ClosedDateTime,CreatedDateTime is > 2 and <=3 then '>2-3' ,when datedifference of ClosedDateTime,CreatedDateTime is > 3 and <=4 then '>3-4' ,when datedifference of ClosedDateTime,CreatedDateTime is > 4 and <=5 then '>4-5',when datedifference of ClosedDateTime,CreatedDateTime is > 5 and <=6 then '>5-6' ,when datedifference of ClosedDateTime,CreatedDateTime is > 6 and <=7 then '>6-7' ,when datedifference of ClosedDateTime,CreatedDateTime is > 7 and <=14 then '>7-14' ,when datedifference of ClosedDateTime,CreatedDateTime is > 14 and <=21 then '>14-21' ,when datedifference of ClosedDateTime,CreatedDateTime is > 21 and <=30 then '>21-30' ,when datedifference of ClosedDateTime,CreatedDateTime is > 30 and <=60 then '>30-60' ,when datedifference of ClosedDateTime,CreatedDateTime is > 60 and <=90 then '>60-90' ,when datedifference of ClosedDateTime,CreatedDateTime is > 90 and <=120 then '>90-120' ,when datedifference of ClosedDateTime,CreatedDateTime >120 then '>120' . Now join DimRange based on this new Range column and extract RangeKey ",,OK,ref rno - 9 review comments,
Direct mapping to AgentLineOfBusiness column in DimSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
This is a reference key to DimSupportChannel table to get more details about medium of communication. Direct mapping to SupportChannelKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
"This is a reference key to the DimSubPlanningCategory to get more detail about Sub PlanningCategory.Derived by applying decode logic on PlanningCategoryKey column in FactSupportServiceRequest table coming from SA&DP Commercial source. Logic: join FactSupportServiceRequest and Commercial-DimPlanningCategory tables based on PlanningCategoryKey and extract SubPlanningCategoryID, join this with DimSubPlanningCategory based on  SubPlanningCategoryID and extract SubPlanningCategorykey",,Ok,ref rno - 9 review comments,
Direct mapping to OrderId column in DimSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
This is a reference key to DimServiceRequestStatus table to get staus of ticket. Direct mapping to ServiceRequestStatusKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
This is a reference key to DimServiceRequestState table to get current state of ticket. Direct mapping to StateKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
Direct mapping to ServiceRequestType column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,,
This is a reference key to DimServiceOfferingMaster table to get more detail of various services offered for Commercial tickets. Direct mapping to ServiceOfferingMasterKey column in FactSupportServiceRequest table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
Fact table that contains Commercial Survey data related to Surface Devices in FactSurvey table coming from SA&DP Commercial Source. Grain: FactSurveyKey,,Ok,refer rno - 3 review comments,
Direct mapping to ServiceRequestNumber column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
Direct mapping to Rating column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
Hardcoded to Unspecified,,Ok,,
Direct mapping to AcknowledgeDateTime column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
This is a reference key to DimDate table to get more details about Survey CreatedDatetime in UTC. This key is populated by joining AcknowledgeDateTime from FactSurvey table coming from SA&DP Commercial source with CalendarDate in the DimDate and extracting Datekey,,Ok,ref rno - 9 review comments,
This is a reference key to DimTime table to get more details about Survey CreatedDatetime in UTC. This key is populated by joining AcknowledgeDateTime from FactSurvey table coming from SA&DP Commercial source with Time in the DimTime and extracting Timekey,,Ok,ref rno - 9 review comments,
This is a reference key to DimDate table to get more details about Survey CreatedDatetime in PT. This key is populated by joining AcknowledgeDateTime in PT from FactSurvey table coming from SA&DP Commercial source with CalendarDate in the DimDate and extracting Datekey,,Ok,ref rno - 9 review comments,
This is a reference key to DimTime table to get more details about Survey CreatedDatetime in PT. This key is populated by joining AcknowledgeDateTime in PT from FactSurvey table coming from SA&DP Commercial source with Time in the DimTime and extracting Timekey,,Ok,ref rno - 9 review comments,
Direct mapping to ServiceRequestKey column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
"This is a reference key to DimRange table to get more details about Ticket ageRange. Derived by applying decode logic on ClosedDateTime,CreatedDateTime columns in DimSupportServiceRequest table coming from SA&DP Commercial Source. Logic: calculate new column Range-when datedifference of ClosedDateTime,CreatedDateTime < 0 then '<=0' ,when datedifference of ClosedDateTime,CreatedDateTime is > 0 and <=1 then '>0-1' ,when datedifference of ClosedDateTime,CreatedDateTime is > 1 and <=2 then '>1-2' ,when datedifference of ClosedDateTime,CreatedDateTime is > 2 and <=3 then '>2-3' ,when datedifference of ClosedDateTime,CreatedDateTime is > 3 and <=4 then '>3-4' ,when datedifference of ClosedDateTime,CreatedDateTime is > 4 and <=5 then '>4-5',when datedifference of ClosedDateTime,CreatedDateTime is > 5 and <=6 then '>5-6' ,when datedifference of ClosedDateTime,CreatedDateTime is > 6 and <=7 then '>6-7' ,when datedifference of ClosedDateTime,CreatedDateTime is > 7 and <=14 then '>7-14' ,when datedifference of ClosedDateTime,CreatedDateTime is > 14 and <=21 then '>14-21' ,when datedifference of ClosedDateTime,CreatedDateTime is > 21 and <=30 then '>21-30' ,when datedifference of ClosedDateTime,CreatedDateTime is > 30 and <=60 then '>30-60' ,when datedifference of ClosedDateTime,CreatedDateTime is > 60 and <=90 then '>60-90' ,when datedifference of ClosedDateTime,CreatedDateTime is > 90 and <=120 then '>90-120' ,when datedifference of ClosedDateTime,CreatedDateTime >120 then '>120' . Now join DimRange based on this new Range column and extract RangeKey ",,Ok,ref rno - 9 review comments,
Direct mapping to PESProductKey column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
Direct mapping to OwnerEmployeeKey column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
Hardcoded to 0,,Ok,,
This is a reference key to DimGeography table to get more details about customer geography. Direct mapping to CustomerGeographyKey column in FactSurvey table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
This is a reference key to DimSupportLanguage table to get more details about Language. Direct mapping to Supportlanguagekey column in FactSurvey table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
Direct mapping to IsResolved column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
Direct mapping to IsFirstContactResolved column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
Hardcoded to 0,,Ok,,
This is a reference key to DimDataSource table to get more details about Source. Direct mapping to DataSourcekey column in FactSurvey table coming from SA&DP Commercial Source,,Ok,ref rno - 9 review comments,
This is a reference key to DimSupportChannel table to get more details about medium of communication. Direct mapping to SupportChannelKey column in FactSurvey table coming from SA&DP Commercial source,,Ok,ref rno - 9 review comments,
Direct mapping to FactSurveyKey column in FactSurvey table coming from SA&DP Commercial source,,Ok,,
This is a reference key to DimMLGCSSurveyTarget table to get more details about MLGCS Business Targets associated with the survey. Derived by applying decode logic received from MDM_viw_Consumer_MAS_MLGCSSurveyProduct table coming from MDM source. Logic: based on logic available in MDM_viw_Consumer_MAS_MLGCSSurveyProduct table MLGCSSurveyTargetkey related to survey is mapped,,Ok,ref rno - 9 review comments,
Timestamp in UTC at which record is inserted by ETL process in UDP,,Ok,,
Timestamp in UTC at which record is updated by ETL process in UDP,,Ok,,
END B3,,,,
,L1 Review,L2 Review,L3: IAR Review,
TechnicalDescription,L1 Review Comment,L2 Review Comment,Review Comment L3,
This table contains the details of perfoming and Acquired accounts data coming from Microsoft Ads Data Analytics Platform Source,looks Good,,,
"Direct mapping to DateKey column coming from MDAP (MSA Data Analytics Platform) source,FactPerformingAndNewCountmeasures_v1 table",looks Good,,,
